,# edges,setting,privacy leakage
520,400,min-degree-R,0.21499999999999997
521,400,min-degree-U,0.2025
522,500,min-degree-O,0.564
523,500,min-degree-R,0.21199999999999997
524,500,min-degree-U,0.256
525,100,saliency-O,0.49
526,100,saliency-R,0.14
527,100,saliency-U,0.17000000000000004
528,200,saliency-O,0.54
529,200,saliency-R,0.26
530,200,saliency-U,0.22999999999999998
531,300,saliency-O,0.53
532,300,saliency-R,0.2366666666666667
533,300,saliency-U,0.29666666666666663
534,400,saliency-O,0.5375
535,400,saliency-R,0.265
536,400,saliency-U,0.30000000000000004
537,500,saliency-O,0.586
538,500,saliency-R,0.34199999999999997
539,500,saliency-U,0.344
540,100,random-O,0.72
541,100,random-R,0.48
542,100,random-U,0.43999999999999995
543,200,random-O,0.705
544,200,random-R,0.405
545,200,random-U,0.45499999999999996
546,300,random-O,0.6633333333333333
547,300,random-R,0.51
548,300,random-U,0.5066666666666666
549,400,random-O,0.7
550,400,random-R,0.4475
551,400,random-U,0.43999999999999995
552,500,random-O,0.694
553,500,random-R,0.46399999999999997
554,500,random-U,0.43999999999999995
555,100,max-degree-O,0.84
556,100,max-degree-R,0.79
557,100,max-degree-U,0.77
558,200,max-degree-O,0.875
559,200,max-degree-R,0.71
560,200,max-degree-U,0.77
561,300,max-degree-O,0.8366666666666667
562,300,max-degree-R,0.6833333333333333
563,300,max-degree-U,0.73
564,400,max-degree-O,0.8175
565,400,max-degree-R,0.73
566,400,max-degree-U,0.7275
567,500,max-degree-O,0.846
568,500,max-degree-R,0.6619999999999999
569,500,max-degree-U,0.634
570,100,min-degree-O,0.57
571,100,min-degree-R,0.17000000000000004
572,100,min-degree-U,0.18000000000000005
573,200,min-degree-O,0.585
574,200,min-degree-R,0.18999999999999995
575,200,min-degree-U,0.19499999999999995
576,300,min-degree-O,0.5533333333333333
577,300,min-degree-R,0.20666666666666667
578,300,min-degree-U,0.16666666666666663
579,400,min-degree-O,0.575
580,400,min-degree-R,0.23750000000000004
581,400,min-degree-U,0.20999999999999996
582,500,min-degree-O,0.64
583,500,min-degree-R,0.27
584,500,min-degree-U,0.268
585,100,saliency-O,0.73
586,100,saliency-R,0.07999999999999996
587,100,saliency-U,0.13
588,200,saliency-O,0.58
589,200,saliency-R,0.17000000000000004
590,200,saliency-U,0.20499999999999996
591,300,saliency-O,0.4866666666666667
592,300,saliency-R,0.29000000000000004
593,300,saliency-U,0.2666666666666667
594,400,saliency-O,0.5225
595,400,saliency-R,0.24750000000000005
596,400,saliency-U,0.32999999999999996
597,500,saliency-O,0.574
598,500,saliency-R,0.31999999999999995
599,500,saliency-U,0.354
