,# edges,setting,privacy leakage
465,100,saliency-O,0.87
466,100,saliency-R,0.010000000000000009
467,100,saliency-U,0.010000000000000009
468,200,saliency-O,0.88
469,200,saliency-R,0.015000000000000013
470,200,saliency-U,0.010000000000000009
471,300,saliency-O,0.86
472,300,saliency-R,0.020000000000000018
473,300,saliency-U,0.020000000000000018
474,400,saliency-O,0.8675
475,400,saliency-R,0.022499999999999964
476,400,saliency-U,0.015000000000000013
477,500,saliency-O,0.886
478,500,saliency-R,0.020000000000000018
479,500,saliency-U,0.008000000000000007
480,100,random-O,0.89
481,100,random-R,0.28
482,100,random-U,0.25
483,200,random-O,0.9
484,200,random-R,0.29000000000000004
485,200,random-U,0.21999999999999997
486,300,random-O,0.9066666666666666
487,300,random-R,0.29666666666666663
488,300,random-U,0.21999999999999997
489,400,random-O,0.8775
490,400,random-R,0.20499999999999996
491,400,random-U,0.20499999999999996
492,500,random-O,0.898
493,500,random-R,0.18200000000000005
494,500,random-U,0.17800000000000005
495,100,max-degree-O,0.79
496,100,max-degree-R,0.16000000000000003
497,100,max-degree-U,0.10999999999999999
498,200,max-degree-O,0.79
499,200,max-degree-R,0.39
500,200,max-degree-U,0.235
501,300,max-degree-O,0.7666666666666667
502,300,max-degree-R,0.20999999999999996
503,300,max-degree-U,0.17000000000000004
504,400,max-degree-O,0.9075
505,400,max-degree-R,0.13749999999999996
506,400,max-degree-U,0.12749999999999995
507,500,max-degree-O,0.93
508,500,max-degree-R,0.30000000000000004
509,500,max-degree-U,0.126
510,100,min-degree-O,0.89
511,100,min-degree-R,0.020000000000000018
512,100,min-degree-U,0.020000000000000018
513,200,min-degree-O,0.865
514,200,min-degree-R,0.0050000000000000044
515,200,min-degree-U,0.010000000000000009
516,300,min-degree-O,0.8933333333333333
517,300,min-degree-R,0.0033333333333332993
518,300,min-degree-U,0.00666666666666671
519,400,min-degree-O,0.8575
520,400,min-degree-R,0.0050000000000000044
521,400,min-degree-U,0.0050000000000000044
522,500,min-degree-O,0.878
523,500,min-degree-R,0.0040000000000000036
524,500,min-degree-U,0.0040000000000000036
525,100,saliency-O,0.86
526,100,saliency-R,0.030000000000000027
527,100,saliency-U,0.020000000000000018
528,200,saliency-O,0.865
529,200,saliency-R,0.03500000000000003
530,200,saliency-U,0.040000000000000036
531,300,saliency-O,0.8966666666666666
532,300,saliency-R,0.00666666666666671
533,300,saliency-U,0.020000000000000018
534,400,saliency-O,0.845
535,400,saliency-R,0.03500000000000003
536,400,saliency-U,0.03500000000000003
537,500,saliency-O,0.872
538,500,saliency-R,0.02200000000000002
539,500,saliency-U,0.016000000000000014
540,100,random-O,0.9
541,100,random-R,0.26
542,100,random-U,0.18000000000000005
543,200,random-O,0.865
544,200,random-R,0.255
545,200,random-U,0.19999999999999996
546,300,random-O,0.89
547,300,random-R,0.26
548,300,random-U,0.18999999999999995
549,400,random-O,0.77
550,400,random-R,0.405
551,400,random-U,0.36250000000000004
552,500,random-O,0.702
553,500,random-R,0.26
554,500,random-U,0.22599999999999998
555,100,max-degree-O,0.81
556,100,max-degree-R,0.19999999999999996
557,100,max-degree-U,0.09999999999999998
558,200,max-degree-O,0.785
559,200,max-degree-R,0.19499999999999995
560,200,max-degree-U,0.17000000000000004
561,300,max-degree-O,0.78
562,300,max-degree-R,0.19333333333333336
563,300,max-degree-U,0.17000000000000004
564,400,max-degree-O,0.72
565,400,max-degree-R,0.12749999999999995
566,400,max-degree-U,0.13249999999999995
567,500,max-degree-O,0.778
568,500,max-degree-R,0.15600000000000003
569,500,max-degree-U,0.16600000000000004
570,100,min-degree-O,0.87
571,100,min-degree-R,0.020000000000000018
572,100,min-degree-U,0.020000000000000018
573,200,min-degree-O,0.81
574,200,min-degree-R,0.010000000000000009
575,200,min-degree-U,0.010000000000000009
576,300,min-degree-O,0.8866666666666667
577,300,min-degree-R,0.0033333333333332993
578,300,min-degree-U,0.00666666666666671
579,400,min-degree-O,0.8625
580,400,min-degree-R,0.0050000000000000044
581,400,min-degree-U,0.0024999999999999467
582,500,min-degree-O,0.836
583,500,min-degree-R,0.0020000000000000018
584,500,min-degree-U,0.0040000000000000036
585,100,saliency-O,0.81
586,100,saliency-R,0.19999999999999996
587,100,saliency-U,0.030000000000000027
588,200,saliency-O,0.865
589,200,saliency-R,0.020000000000000018
590,200,saliency-U,0.030000000000000027
591,300,saliency-O,0.8766666666666667
592,300,saliency-R,0.013333333333333308
593,300,saliency-U,0.00666666666666671
594,400,saliency-O,0.8875
595,400,saliency-R,0.03249999999999997
596,400,saliency-U,0.020000000000000018
597,500,saliency-O,0.85
598,500,saliency-R,0.026000000000000023
599,500,saliency-U,0.026000000000000023
