,# edges,setting,accuracy,running time
250,100,max-degree-R,0.8394833948339483,2.1957154273986816
251,100,max-degree-U,0.8265682656826568,4.309065580368042
252,200,max-degree-R,0.8357933579335793,2.083092451095581
253,200,max-degree-U,0.8265682656826568,2.9564316272735596
254,400,max-degree-R,0.8321033210332104,1.8931629657745361
255,400,max-degree-U,0.8265682656826568,3.3806636333465576
256,800,max-degree-R,0.8394833948339483,2.3134329319000244
257,800,max-degree-U,0.8191881918819188,2.214268445968628
258,1000,max-degree-R,0.8321033210332104,2.05653715133667
259,1000,max-degree-U,0.8228782287822878,3.3487911224365234
260,100,min-degree-R,0.8339483394833949,2.000260829925537
261,100,min-degree-U,0.8339483394833949,3.3901824951171875
262,200,min-degree-R,0.8376383763837638,2.1575443744659424
263,200,min-degree-U,0.8376383763837638,3.4037303924560547
264,400,min-degree-R,0.8062730627306273,2.2021193504333496
265,400,min-degree-U,0.8357933579335793,3.5032730102539062
266,800,min-degree-R,0.7029520295202952,2.040776491165161
267,800,min-degree-U,0.8321033210332104,3.9860918521881104
268,1000,min-degree-R,0.7564575645756457,2.0162158012390137
269,1000,min-degree-U,0.8413284132841329,3.324420213699341
270,100,saliency-R,0.8357933579335793,2.043029308319092
271,100,saliency-U,0.8339483394833949,3.8222498893737793
272,200,saliency-R,0.8413284132841329,2.1034770011901855
273,200,saliency-U,0.8321033210332104,3.509854316711426
274,400,saliency-R,0.8487084870848709,1.9247586727142334
275,400,saliency-U,0.8284132841328413,3.305365800857544
276,800,saliency-R,0.8413284132841329,2.077481746673584
277,800,saliency-U,0.8265682656826568,2.7595913410186768
278,1000,saliency-R,0.8450184501845018,1.8980400562286377
