,# edges,setting,privacy leakage
382,300,max-degree-R,0.20666666666666667
383,300,max-degree-U,0.22333333333333338
384,400,max-degree-O,0.885
385,400,max-degree-R,0.040000000000000036
386,400,max-degree-U,0.03749999999999998
387,500,max-degree-O,0.85
388,500,max-degree-R,0.06399999999999995
389,500,max-degree-U,0.20599999999999996
390,100,min-degree-O,0.74
391,100,min-degree-R,0.020000000000000018
392,100,min-degree-U,0.010000000000000009
393,200,min-degree-O,0.76
394,200,min-degree-R,0.015000000000000013
395,200,min-degree-U,0.015000000000000013
396,300,min-degree-O,0.73
397,300,min-degree-R,0.013333333333333308
398,300,min-degree-U,0.013333333333333308
399,400,min-degree-O,0.7675
400,400,min-degree-R,0.025000000000000022
401,400,min-degree-U,0.020000000000000018
402,500,min-degree-O,0.816
403,500,min-degree-R,0.020000000000000018
404,500,min-degree-U,0.02400000000000002
405,100,saliency-O,0.81
406,100,saliency-R,0.6699999999999999
407,100,saliency-U,0.6799999999999999
408,200,saliency-O,0.785
409,200,saliency-R,0.025000000000000022
410,200,saliency-U,0.010000000000000009
411,300,saliency-O,0.8033333333333333
412,300,saliency-R,0.5166666666666666
413,300,saliency-U,0.44666666666666666
414,400,saliency-O,0.7975
415,400,saliency-R,0.65
416,400,saliency-U,0.6675
417,500,saliency-O,0.816
418,500,saliency-R,0.722
419,500,saliency-U,0.744
420,100,random-O,0.71
421,100,random-R,0.41000000000000003
422,100,random-U,0.47
423,200,random-O,0.775
424,200,random-R,0.44499999999999995
425,200,random-U,0.405
426,300,random-O,0.82
427,300,random-R,0.43666666666666665
428,300,random-U,0.41333333333333333
429,400,random-O,0.7825
430,400,random-R,0.4175
431,400,random-U,0.41500000000000004
432,500,random-O,0.678
433,500,random-R,0.45799999999999996
434,500,random-U,0.486
435,100,max-degree-O,0.89
436,100,max-degree-R,0.79
437,100,max-degree-U,0.8
438,200,max-degree-O,0.875
439,200,max-degree-R,0.16000000000000003
440,200,max-degree-U,0.18999999999999995
