,# edges,setting,accuracy,running time
264,400,min-degree-R,0.8044280442804428,3.3841676712036133
265,400,min-degree-U,0.8210332103321033,2.1385252475738525
266,800,min-degree-R,0.7490774907749077,3.0253283977508545
267,800,min-degree-U,0.8099630996309963,1.792771816253662
268,1000,min-degree-R,0.7343173431734318,3.3037872314453125
269,1000,min-degree-U,0.8062730627306273,1.673405647277832
270,100,saliency-R,0.8321033210332104,3.5274715423583984
271,100,saliency-U,0.8265682656826568,2.467942714691162
272,200,saliency-R,0.8247232472324724,3.7844231128692627
273,200,saliency-U,0.8265682656826568,2.7393362522125244
274,400,saliency-R,0.8321033210332104,3.572528600692749
275,400,saliency-U,0.8265682656826568,3.1968863010406494
276,800,saliency-R,0.8228782287822878,3.3359832763671875
277,800,saliency-U,0.8265682656826568,2.6550002098083496
278,1000,saliency-R,0.8321033210332104,3.5136802196502686
279,1000,saliency-U,0.8265682656826568,2.4421188831329346
280,100,random-R,0.8339483394833949,4.090672731399536
281,100,random-U,0.8210332103321033,2.61246919631958
282,200,random-R,0.8173431734317343,4.756882905960083
283,200,random-U,0.8173431734317343,1.730602741241455
284,400,random-R,0.8247232472324724,4.274860143661499
285,400,random-U,0.8247232472324724,1.9066336154937744
286,800,random-R,0.8025830258302583,3.8512749671936035
287,800,random-U,0.8136531365313653,1.7145881652832031
288,1000,random-R,0.7841328413284133,4.452862501144409
289,1000,random-U,0.8118081180811808,1.3374152183532715
290,100,max-degree-R,0.8210332103321033,2.4242799282073975
291,100,max-degree-U,0.8247232472324724,1.4595212936401367
292,200,max-degree-R,0.8228782287822878,3.5876448154449463
293,200,max-degree-U,0.8265682656826568,1.3267629146575928
294,400,max-degree-R,0.8284132841328413,3.8535189628601074
295,400,max-degree-U,0.8228782287822878,1.80401611328125
296,800,max-degree-R,0.8321033210332104,3.6357738971710205
297,800,max-degree-U,0.8173431734317343,1.9253966808319092
298,1000,max-degree-R,0.8007380073800738,3.4064724445343018
299,1000,max-degree-U,0.8173431734317343,2.2956383228302
300,100,min-degree-R,0.8191881918819188,3.8001461029052734
301,100,min-degree-U,0.8265682656826568,1.1599831581115723
302,200,min-degree-R,0.8247232472324724,3.6124839782714844
303,200,min-degree-U,0.8228782287822878,2.9221155643463135
304,400,min-degree-R,0.7915129151291513,3.134612798690796
305,400,min-degree-U,0.8210332103321033,2.4349989891052246
306,800,min-degree-R,0.7601476014760148,3.271638870239258
307,800,min-degree-U,0.8099630996309963,2.8595986366271973
308,1000,min-degree-R,0.7416974169741697,3.537670850753784
309,1000,min-degree-U,0.8062730627306273,1.3348522186279297
310,100,saliency-R,0.8357933579335793,4.2732203006744385
311,100,saliency-U,0.8265682656826568,1.624405860900879
312,200,saliency-R,0.8339483394833949,3.7667109966278076
313,200,saliency-U,0.8265682656826568,2.3657801151275635
314,400,saliency-R,0.8357933579335793,3.5426833629608154
315,400,saliency-U,0.8265682656826568,2.9223506450653076
316,800,saliency-R,0.8191881918819188,3.6072347164154053
317,800,saliency-U,0.8265682656826568,2.982956647872925
318,1000,saliency-R,0.8357933579335793,3.3611509799957275
319,1000,saliency-U,0.8265682656826568,2.647907257080078
320,100,random-R,0.8191881918819188,3.1996757984161377
321,100,random-U,0.8228782287822878,2.5714786052703857
322,200,random-R,0.8191881918819188,4.226459980010986
323,200,random-U,0.8210332103321033,2.0272436141967773
324,400,random-R,0.8062730627306273,3.734480857849121
325,400,random-U,0.8228782287822878,2.204572916030884
326,800,random-R,0.8044280442804428,3.6591579914093018
327,800,random-U,0.8210332103321033,1.3106060028076172
328,1000,random-R,0.7896678966789668,3.5756585597991943
329,1000,random-U,0.8173431734317343,1.1826329231262207
330,100,max-degree-R,0.8339483394833949,3.3800275325775146
331,100,max-degree-U,0.8247232472324724,1.2189874649047852
332,200,max-degree-R,0.8284132841328413,3.5584306716918945
333,200,max-degree-U,0.8265682656826568,1.3730425834655762
334,400,max-degree-R,0.8228782287822878,3.6705174446105957
335,400,max-degree-U,0.8228782287822878,2.4692647457122803
336,800,max-degree-R,0.8081180811808119,4.264446973800659
337,800,max-degree-U,0.8173431734317343,1.345644474029541
338,1000,max-degree-R,0.8228782287822878,5.017115592956543
339,1000,max-degree-U,0.8173431734317343,2.2630321979522705
340,100,min-degree-R,0.8191881918819188,3.4851622581481934
341,100,min-degree-U,0.8265682656826568,1.8818786144256592
342,200,min-degree-R,0.8062730627306273,3.2699594497680664
343,200,min-degree-U,0.8228782287822878,3.222775936126709
344,400,min-degree-R,0.7896678966789668,3.6763415336608887
