,# edges,setting,accuracy,privacy leakage
704,1000,saliency-U,0.8187919463087249,1.0
705,1200,saliency-O,0.0,0.095
706,1200,saliency-R,0.8120805369127517,0.9708333333333333
707,1200,saliency-U,0.8187919463087249,0.9833333333333333
708,1400,saliency-O,0.0,0.31785714285714284
709,1400,saliency-R,0.8590604026845637,0.9664285714285714
710,1400,saliency-U,0.8187919463087249,0.9821428571428571
711,1600,saliency-O,0.0,0.236875
712,1600,saliency-R,0.825503355704698,0.8825
713,1600,saliency-U,0.8187919463087249,0.974375
714,1800,saliency-O,0.0,0.13722222222222222
715,1800,saliency-R,0.8389261744966443,0.9988888888888889
716,1800,saliency-U,0.8187919463087249,0.9322222222222222
717,2000,saliency-O,0.0,0.1265
718,2000,saliency-R,0.8557046979865772,0.9985
719,2000,saliency-U,0.8187919463087249,0.996
720,200,random-O,0.0,0.16
721,200,random-R,0.8489932885906041,0.595
722,200,random-U,0.8355704697986577,0.765
723,400,random-O,0.0,0.2475
724,400,random-R,0.8657718120805369,0.8375
725,400,random-U,0.8355704697986577,0.88
726,600,random-O,0.0,0.2833333333333333
727,600,random-R,0.7818791946308725,0.7883333333333333
728,600,random-U,0.8355704697986577,0.8066666666666666
729,800,random-O,0.0,0.195
730,800,random-R,0.8154362416107382,0.86875
731,800,random-U,0.8355704697986577,0.80875
732,1000,random-O,0.0,0.169
733,1000,random-R,0.8523489932885906,0.85
734,1000,random-U,0.8355704697986577,0.861
735,1200,random-O,0.0,0.31
736,1200,random-R,0.8523489932885906,0.8841666666666667
737,1200,random-U,0.8355704697986577,0.8158333333333333
738,1400,random-O,0.0,0.24142857142857144
739,1400,random-R,0.8221476510067114,0.8657142857142858
740,1400,random-U,0.8355704697986577,0.9171428571428571
741,1600,random-O,0.0,0.1775
742,1600,random-R,0.8422818791946308,0.86625
743,1600,random-U,0.8389261744966443,0.79625
744,1800,random-O,0.0,0.1738888888888889
745,1800,random-R,0.8624161073825504,0.8005555555555556
746,1800,random-U,0.8389261744966443,0.8327777777777777
747,2000,random-O,0.0,0.2725
748,2000,random-R,0.8187919463087249,0.791
749,2000,random-U,0.8389261744966443,0.861
750,200,max-degree-O,0.0,0.465
751,200,max-degree-R,0.8456375838926175,0.485
752,200,max-degree-U,0.761744966442953,0.56
753,400,max-degree-O,0.0,0.495
754,400,max-degree-R,0.8657718120805369,0.6875
755,400,max-degree-U,0.6845637583892618,0.5875
756,600,max-degree-O,0.0,0.5066666666666667
757,600,max-degree-R,0.8389261744966443,0.6083333333333333
758,600,max-degree-U,0.6577181208053692,0.68
759,800,max-degree-O,0.0,0.4075
760,800,max-degree-R,0.8422818791946308,0.7725
761,800,max-degree-U,0.6577181208053692,0.6725
762,1000,max-degree-O,0.0,0.358
763,1000,max-degree-R,0.6476510067114094,0.842
764,1000,max-degree-U,0.6610738255033557,0.701
765,1200,max-degree-O,0.0,0.2866666666666667
766,1200,max-degree-R,0.785234899328859,0.825
767,1200,max-degree-U,0.6610738255033557,0.6825
768,1400,max-degree-O,0.0,0.24571428571428572
769,1400,max-degree-R,0.8489932885906041,0.7392857142857143
770,1400,max-degree-U,0.6644295302013423,0.7814285714285715
771,1600,max-degree-O,0.0,0.314375
772,1600,max-degree-R,0.8422818791946308,0.719375
773,1600,max-degree-U,0.6677852348993288,0.758125
774,1800,max-degree-O,0.0,0.2811111111111111
775,1800,max-degree-R,0.8422818791946308,0.7555555555555555
776,1800,max-degree-U,0.6711409395973155,0.7605555555555555
777,2000,max-degree-O,0.0,0.2725
778,2000,max-degree-R,0.8389261744966443,0.7475
779,2000,max-degree-U,0.6778523489932886,0.754
780,200,min-degree-O,0.0,0.135
781,200,min-degree-R,0.8221476510067114,0.9
782,200,min-degree-U,0.8288590604026845,0.925
783,400,min-degree-O,0.0,0.0675
784,400,min-degree-R,0.8489932885906041,0.9125
785,400,min-degree-U,0.8288590604026845,0.855
786,600,min-degree-O,0.0,0.13666666666666666
787,600,min-degree-R,0.8422818791946308,0.8566666666666667
788,600,min-degree-U,0.825503355704698,0.9733333333333334
789,800,min-degree-O,0.0,0.27125
790,800,min-degree-R,0.785234899328859,0.9675
791,800,min-degree-U,0.825503355704698,0.945
792,1000,min-degree-O,0.0,0.329
793,1000,min-degree-R,0.8187919463087249,0.918
794,1000,min-degree-U,0.825503355704698,0.9
795,1200,min-degree-O,0.0,0.07
796,1200,min-degree-R,0.8221476510067114,0.9383333333333334
797,1200,min-degree-U,0.825503355704698,0.8941666666666667
798,1400,min-degree-O,0.0,0.06571428571428571
799,1400,min-degree-R,0.825503355704698,0.9242857142857143
800,1400,min-degree-U,0.8288590604026845,0.8692857142857143
801,1600,min-degree-O,0.0,0.08
802,1600,min-degree-R,0.8053691275167785,0.9425
803,1600,min-degree-U,0.8288590604026845,0.898125
804,1800,min-degree-O,0.0,0.10777777777777778
805,1800,min-degree-R,0.8456375838926175,0.9016666666666666
806,1800,min-degree-U,0.825503355704698,0.8938888888888888
807,2000,min-degree-O,0.0,0.114
808,2000,min-degree-R,0.8087248322147651,0.939
809,2000,min-degree-U,0.825503355704698,0.8845
810,200,saliency-O,0.0,0.005
811,200,saliency-R,0.8355704697986577,1.0
812,200,saliency-U,0.8355704697986577,0.995
813,400,saliency-O,0.0,0.095
814,400,saliency-R,0.8523489932885906,1.0
815,400,saliency-U,0.8355704697986577,1.0
816,600,saliency-O,0.0,0.0016666666666666668
817,600,saliency-R,0.8355704697986577,0.965
818,600,saliency-U,0.8355704697986577,1.0
819,800,saliency-O,0.0,0.0025
820,800,saliency-R,0.825503355704698,1.0
821,800,saliency-U,0.8355704697986577,1.0
822,1000,saliency-O,0.0,0.0
823,1000,saliency-R,0.8154362416107382,1.0
824,1000,saliency-U,0.8355704697986577,1.0
825,1200,saliency-O,0.0,0.0275
826,1200,saliency-R,0.8489932885906041,0.9983333333333333
827,1200,saliency-U,0.8355704697986577,1.0
828,1400,saliency-O,0.0,0.07428571428571429
829,1400,saliency-R,0.825503355704698,0.9814285714285714
830,1400,saliency-U,0.8355704697986577,0.9942857142857143
831,1600,saliency-O,0.0,0.005625
832,1600,saliency-R,0.8523489932885906,1.0
833,1600,saliency-U,0.8355704697986577,0.98375
834,1800,saliency-O,0.0,0.012777777777777779
835,1800,saliency-R,0.8422818791946308,0.9755555555555555
836,1800,saliency-U,0.8355704697986577,0.975
837,2000,saliency-O,0.0,0.0195
838,2000,saliency-R,0.8389261744966443,0.967
839,2000,saliency-U,0.8355704697986577,0.9755
840,200,random-O,0.0,0.425
841,200,random-R,0.8221476510067114,0.915
842,200,random-U,0.8523489932885906,0.78
843,400,random-O,0.0,0.1875
844,400,random-R,0.8489932885906041,0.7
845,400,random-U,0.8422818791946308,0.88
846,600,random-O,0.0,0.26
847,600,random-R,0.8489932885906041,0.7766666666666666
848,600,random-U,0.8389261744966443,0.8666666666666667
849,800,random-O,0.0,0.26625
850,800,random-R,0.8456375838926175,0.805
851,800,random-U,0.8355704697986577,0.8175
852,1000,random-O,0.0,0.192
853,1000,random-R,0.8187919463087249,0.881
854,1000,random-U,0.8422818791946308,0.852
855,1200,random-O,0.0,0.25916666666666666
856,1200,random-R,0.8557046979865772,0.7841666666666667
857,1200,random-U,0.8422818791946308,0.8425
858,1400,random-O,0.0,0.28285714285714286
859,1400,random-R,0.8489932885906041,0.8085714285714286
860,1400,random-U,0.8389261744966443,0.8778571428571429
861,1600,random-O,0.0,0.2475
862,1600,random-R,0.8355704697986577,0.851875
863,1600,random-U,0.8355704697986577,0.834375
864,1800,random-O,0.0,0.38
865,1800,random-R,0.8557046979865772,0.8144444444444444
866,1800,random-U,0.8355704697986577,0.8416666666666667
867,2000,random-O,0.0,0.109
868,2000,random-R,0.8120805369127517,0.864
869,2000,random-U,0.8389261744966443,0.8775
870,200,max-degree-O,0.0,0.425
871,200,max-degree-R,0.8523489932885906,0.51
872,200,max-degree-U,0.825503355704698,0.625
873,400,max-degree-O,0.0,0.3175
874,400,max-degree-R,0.8624161073825504,0.5775
875,400,max-degree-U,0.8221476510067114,0.6175
876,600,max-degree-O,0.0,0.5416666666666666
877,600,max-degree-R,0.8557046979865772,0.6666666666666666
878,600,max-degree-U,0.8087248322147651,0.7116666666666667
879,800,max-degree-O,0.0,0.43
880,800,max-degree-R,0.8523489932885906,0.73875
881,800,max-degree-U,0.8087248322147651,0.7575
882,1000,max-degree-O,0.0,0.272
883,1000,max-degree-R,0.8489932885906041,0.736
884,1000,max-degree-U,0.8087248322147651,0.768
885,1200,max-degree-O,0.0,0.29333333333333333
886,1200,max-degree-R,0.7751677852348994,0.7
887,1200,max-degree-U,0.8154362416107382,0.6975
888,1400,max-degree-O,0.0,0.3742857142857143
889,1400,max-degree-R,0.8489932885906041,0.8707142857142857
890,1400,max-degree-U,0.8154362416107382,0.7585714285714286
891,1600,max-degree-O,0.0,0.34375
892,1600,max-degree-R,0.8422818791946308,0.829375
893,1600,max-degree-U,0.8154362416107382,0.764375
894,1800,max-degree-O,0.0,0.33444444444444443
895,1800,max-degree-R,0.8355704697986577,0.7488888888888889
896,1800,max-degree-U,0.8154362416107382,0.7844444444444445
897,2000,max-degree-O,0.0,0.336
898,2000,max-degree-R,0.825503355704698,0.7635
899,2000,max-degree-U,0.8154362416107382,0.772
900,200,min-degree-O,0.0,0.02
901,200,min-degree-R,0.8221476510067114,0.87
902,200,min-degree-U,0.8422818791946308,0.97
903,400,min-degree-O,0.0,0.0425
904,400,min-degree-R,0.8355704697986577,0.885
905,400,min-degree-U,0.8422818791946308,0.955
906,600,min-degree-O,0.0,0.04666666666666667
907,600,min-degree-R,0.8187919463087249,0.9333333333333333
908,600,min-degree-U,0.8389261744966443,0.92
909,800,min-degree-O,0.0,0.10875
910,800,min-degree-R,0.8456375838926175,0.93875
911,800,min-degree-U,0.8422818791946308,0.935
912,1000,min-degree-O,0.0,0.041
913,1000,min-degree-R,0.8154362416107382,0.774
914,1000,min-degree-U,0.8422818791946308,0.949
915,1200,min-degree-O,0.0,0.17833333333333334
916,1200,min-degree-R,0.8154362416107382,0.8725
917,1200,min-degree-U,0.8456375838926175,0.9175
918,1400,min-degree-O,0.0,0.16285714285714287
919,1400,min-degree-R,0.8389261744966443,0.9171428571428571
920,1400,min-degree-U,0.8523489932885906,0.9507142857142857
921,1600,min-degree-O,0.0,0.1
922,1600,min-degree-R,0.8322147651006712,0.910625
923,1600,min-degree-U,0.8523489932885906,0.956875
924,1800,min-degree-O,0.0,0.07944444444444444
925,1800,min-degree-R,0.8389261744966443,0.9416666666666667
926,1800,min-degree-U,0.8489932885906041,0.965
927,2000,min-degree-O,0.0,0.1285
928,2000,min-degree-R,0.8053691275167785,0.954
929,2000,min-degree-U,0.8489932885906041,0.953
930,200,saliency-O,0.0,0.515
931,200,saliency-R,0.8288590604026845,1.0
932,200,saliency-U,0.8489932885906041,1.0
933,400,saliency-O,0.0,0.0025
934,400,saliency-R,0.8288590604026845,0.9975
935,400,saliency-U,0.8489932885906041,0.9975
936,600,saliency-O,0.0,0.0016666666666666668
937,600,saliency-R,0.8557046979865772,1.0
938,600,saliency-U,0.8489932885906041,1.0
939,800,saliency-O,0.0,0.0125
940,800,saliency-R,0.8489932885906041,1.0
941,800,saliency-U,0.8489932885906041,1.0
942,1000,saliency-O,0.0,0.01
943,1000,saliency-R,0.8288590604026845,1.0
944,1000,saliency-U,0.8489932885906041,1.0
945,1200,saliency-O,0.0,0.1425
946,1200,saliency-R,0.8657718120805369,0.9808333333333333
947,1200,saliency-U,0.8489932885906041,1.0
948,1400,saliency-O,0.0,0.1492857142857143
949,1400,saliency-R,0.8322147651006712,0.9757142857142858
950,1400,saliency-U,0.8489932885906041,0.9828571428571429
951,1600,saliency-O,0.0,0.23875
952,1600,saliency-R,0.8120805369127517,0.925625
953,1600,saliency-U,0.8489932885906041,0.930625
954,1800,saliency-O,0.0,0.08833333333333333
955,1800,saliency-R,0.8523489932885906,0.9105555555555556
956,1800,saliency-U,0.8489932885906041,0.9283333333333333
957,2000,saliency-O,0.0,0.169
958,2000,saliency-R,0.8187919463087249,0.942
959,2000,saliency-U,0.8489932885906041,0.95
960,200,random-O,0.0,0.135
961,200,random-R,0.8523489932885906,0.78
962,200,random-U,0.8456375838926175,0.81
963,400,random-O,0.0,0.175
964,400,random-R,0.8221476510067114,0.8925
965,400,random-U,0.8456375838926175,0.7875
966,600,random-O,0.0,0.19166666666666668
967,600,random-R,0.825503355704698,0.77
968,600,random-U,0.8422818791946308,0.8516666666666667
969,800,random-O,0.0,0.11875
970,800,random-R,0.8187919463087249,0.86375
971,800,random-U,0.8422818791946308,0.88
972,1000,random-O,0.0,0.151
973,1000,random-R,0.8355704697986577,0.847
974,1000,random-U,0.8422818791946308,0.936
975,1200,random-O,0.0,0.25166666666666665
976,1200,random-R,0.825503355704698,0.895
977,1200,random-U,0.8422818791946308,0.8391666666666666
978,1400,random-O,0.0,0.2007142857142857
979,1400,random-R,0.8624161073825504,0.8428571428571429
980,1400,random-U,0.8422818791946308,0.8621428571428571
981,1600,random-O,0.0,0.27
982,1600,random-R,0.8456375838926175,0.865625
983,1600,random-U,0.8422818791946308,0.84
984,1800,random-O,0.0,0.13
985,1800,random-R,0.8389261744966443,0.8366666666666667
986,1800,random-U,0.8389261744966443,0.8233333333333334
987,2000,random-O,0.0,0.1845
988,2000,random-R,0.8288590604026845,0.8525
989,2000,random-U,0.8422818791946308,0.871
990,200,max-degree-O,0.0,0.53
991,200,max-degree-R,0.8456375838926175,0.51
992,200,max-degree-U,0.8489932885906041,0.445
993,400,max-degree-O,0.0,0.4725
994,400,max-degree-R,0.8758389261744967,0.6475
995,400,max-degree-U,0.8456375838926175,0.5525
996,600,max-degree-O,0.0,0.53
997,600,max-degree-R,0.8422818791946308,0.5733333333333334
998,600,max-degree-U,0.8355704697986577,0.5733333333333334
999,800,max-degree-O,0.0,0.455
1000,800,max-degree-R,0.8557046979865772,0.59625
1001,800,max-degree-U,0.8355704697986577,0.605
1002,1000,max-degree-O,0.0,0.448
1003,1000,max-degree-R,0.8691275167785235,0.76
1004,1000,max-degree-U,0.8322147651006712,0.678
1005,1200,max-degree-O,0.0,0.36333333333333334
1006,1200,max-degree-R,0.8624161073825504,0.665
1007,1200,max-degree-U,0.8355704697986577,0.7291666666666666
1008,1400,max-degree-O,0.0,0.30714285714285716
1009,1400,max-degree-R,0.8523489932885906,0.6728571428571428
1010,1400,max-degree-U,0.8355704697986577,0.7635714285714286
1011,1600,max-degree-O,0.0,0.278125
1012,1600,max-degree-R,0.8389261744966443,0.7425
1013,1600,max-degree-U,0.8355704697986577,0.7625
1014,1800,max-degree-O,0.0,0.2511111111111111
1015,1800,max-degree-R,0.8456375838926175,0.7055555555555556
1016,1800,max-degree-U,0.8389261744966443,0.7461111111111111
1017,2000,max-degree-O,0.0,0.3175
1018,2000,max-degree-R,0.8322147651006712,0.7605
1019,2000,max-degree-U,0.8355704697986577,0.773
1020,200,min-degree-O,0.0,0.22
1021,200,min-degree-R,0.8120805369127517,0.94
1022,200,min-degree-U,0.8422818791946308,0.985
