,# edges,setting,accuracy,running time
84,400,random-R,0.6786786786786787,2.791386604309082
85,400,random-U,0.7042042042042042,4.737171411514282
86,800,random-R,0.6516516516516516,2.674560308456421
87,800,random-U,0.6936936936936937,5.4983320236206055
88,1000,random-R,0.6456456456456456,2.9398739337921143
89,1000,random-U,0.6876876876876877,4.187746047973633
90,100,max-degree-R,0.6921921921921922,2.9168059825897217
91,100,max-degree-U,0.7072072072072072,4.466828346252441
92,200,max-degree-R,0.7102102102102102,3.0464911460876465
93,200,max-degree-U,0.7072072072072072,3.1788294315338135
94,400,max-degree-R,0.7027027027027027,2.7619941234588623
95,400,max-degree-U,0.7012012012012012,4.362236976623535
96,800,max-degree-R,0.6921921921921922,2.89949107170105
97,800,max-degree-U,0.6981981981981982,5.667944669723511
98,1000,max-degree-R,0.6771771771771772,2.512791633605957
99,1000,max-degree-U,0.6966966966966966,3.8252041339874268
100,100,min-degree-R,0.6741741741741741,3.1757102012634277
101,100,min-degree-U,0.7087087087087087,5.0842907428741455
102,200,min-degree-R,0.6576576576576577,2.375107765197754
103,200,min-degree-U,0.7042042042042042,2.8609230518341064
104,400,min-degree-R,0.6201201201201201,2.867929697036743
105,400,min-degree-U,0.6981981981981982,2.595324754714966
106,800,min-degree-R,0.5945945945945946,2.896146059036255
107,800,min-degree-U,0.6906906906906907,3.8881165981292725
108,1000,min-degree-R,0.5420420420420421,2.4647088050842285
109,1000,min-degree-U,0.6876876876876877,3.51871919631958
110,100,saliency-R,0.7057057057057057,2.4478745460510254
111,100,saliency-U,0.7012012012012012,4.173971652984619
112,200,saliency-R,0.6831831831831832,3.3367230892181396
113,200,saliency-U,0.6981981981981982,4.497851610183716
114,400,saliency-R,0.6921921921921922,3.081421136856079
115,400,saliency-U,0.6981981981981982,5.20181941986084
116,800,saliency-R,0.6816816816816816,2.7598581314086914
117,800,saliency-U,0.6801801801801802,5.289875030517578
118,1000,saliency-R,0.6381381381381381,2.8767685890197754
119,1000,saliency-U,0.6816816816816816,3.5932424068450928
120,100,random-R,0.7087087087087087,3.459428310394287
121,100,random-U,0.7057057057057057,3.414464235305786
122,200,random-R,0.6921921921921922,2.840653896331787
123,200,random-U,0.7027027027027027,2.7757153511047363
124,400,random-R,0.6756756756756757,2.336400032043457
125,400,random-U,0.6981981981981982,2.547182321548462
126,800,random-R,0.6561561561561562,2.3672244548797607
127,800,random-U,0.6966966966966966,4.295673847198486
128,1000,random-R,0.6471471471471472,2.911168098449707
129,1000,random-U,0.6906906906906907,2.9125282764434814
130,100,max-degree-R,0.7102102102102102,3.0750160217285156
131,100,max-degree-U,0.7072072072072072,4.085836410522461
132,200,max-degree-R,0.7072072072072072,2.9022891521453857
133,200,max-degree-U,0.7072072072072072,3.480985164642334
134,400,max-degree-R,0.6846846846846847,2.8790318965911865
135,400,max-degree-U,0.7012012012012012,4.835073709487915
136,800,max-degree-R,0.6876876876876877,2.8902487754821777
137,800,max-degree-U,0.6981981981981982,6.523863792419434
138,1000,max-degree-R,0.6816816816816816,2.6297903060913086
139,1000,max-degree-U,0.6966966966966966,4.406823635101318
140,100,min-degree-R,0.6741741741741741,3.176515817642212
141,100,min-degree-U,0.7087087087087087,5.088773250579834
142,200,min-degree-R,0.6546546546546547,2.6359810829162598
143,200,min-degree-U,0.7042042042042042,2.9357106685638428
144,400,min-degree-R,0.6456456456456456,3.1441142559051514
145,400,min-degree-U,0.6981981981981982,3.1656978130340576
146,800,min-degree-R,0.551051051051051,3.0409395694732666
147,800,min-degree-U,0.6906906906906907,4.741935729980469
148,1000,min-degree-R,0.5165165165165165,3.6739046573638916
149,1000,min-degree-U,0.6876876876876877,3.844609022140503
150,100,saliency-R,0.6876876876876877,2.977545976638794
151,100,saliency-U,0.7012012012012012,4.759864807128906
152,200,saliency-R,0.6861861861861862,3.0743350982666016
153,200,saliency-U,0.6981981981981982,4.356521844863892
154,400,saliency-R,0.6621621621621622,2.8629565238952637
155,400,saliency-U,0.6981981981981982,5.184156179428101
156,800,saliency-R,0.6471471471471472,2.8433923721313477
157,800,saliency-U,0.6801801801801802,5.282256603240967
158,1000,saliency-R,0.6411411411411412,2.825256586074829
159,1000,saliency-U,0.6816816816816816,3.4515938758850098
160,100,random-R,0.6966966966966966,2.8989877700805664
161,100,random-U,0.7042042042042042,4.548612356185913
162,200,random-R,0.6831831831831832,2.6131553649902344
163,200,random-U,0.7042042042042042,3.1420578956604004
164,400,random-R,0.6636636636636637,2.9945406913757324
165,400,random-U,0.7012012012012012,2.5382590293884277
166,800,random-R,0.6486486486486487,2.9761111736297607
167,800,random-U,0.6981981981981982,4.089010953903198
168,1000,random-R,0.6216216216216216,3.138274669647217
169,1000,random-U,0.6966966966966966,3.688328266143799
170,100,max-degree-R,0.6936936936936937,3.4383764266967773
171,100,max-degree-U,0.7072072072072072,4.669914722442627
172,200,max-degree-R,0.7027027027027027,3.012535333633423
173,200,max-degree-U,0.7072072072072072,3.4822323322296143
174,400,max-degree-R,0.6966966966966966,3.036004066467285
175,400,max-degree-U,0.7012012012012012,5.114962339401245
176,800,max-degree-R,0.7012012012012012,3.4772047996520996
177,800,max-degree-U,0.6981981981981982,6.226227045059204
178,1000,max-degree-R,0.6786786786786787,3.111224412918091
179,1000,max-degree-U,0.6966966966966966,4.143276929855347
180,100,min-degree-R,0.6876876876876877,3.360243082046509
