,setting,running time
321,ERAEDGE,1.9565370082855225
322,BLPA,47.01961660385132
323,BEKM,53.02187180519104
324,Retrain,6.738728284835815
325,ERAEDGE,1.1596238613128662
326,BLPA,55.554622173309326
327,BEKM,59.93069529533386
328,Retrain,6.378726005554199
329,ERAEDGE,1.4146008491516113
330,BLPA,54.77592706680298
331,BEKM,65.443838596344
332,Retrain,6.8072943687438965
333,ERAEDGE,1.043421745300293
334,BLPA,53.95903038978577
335,BEKM,60.78964400291443
336,Retrain,6.131243705749512
337,ERAEDGE,1.2822563648223877
338,BLPA,54.92984986305237
339,BEKM,54.415069580078125
340,Retrain,6.20981240272522
341,ERAEDGE,1.7161304950714111
342,BLPA,58.1860408782959
343,BEKM,65.58336567878723
344,Retrain,6.253504276275635
345,ERAEDGE,1.3981595039367676
346,BLPA,63.45250415802002
347,BEKM,60.505876779556274
348,Retrain,6.6614062786102295
349,ERAEDGE,0.9649980068206787
350,BLPA,62.22536897659302
351,BEKM,58.4360134601593
352,Retrain,6.027259111404419
353,ERAEDGE,1.1566760540008545
354,BLPA,58.92098832130432
355,BEKM,51.170915842056274
356,Retrain,6.23367977142334
357,ERAEDGE,1.238523244857788
